gene,malig_mean,ref_mean,spec
AC007950.2,0.006218888133610603,0.005516802603193599,0.0007020855304170045
AC007952.4,0.1961324317602944,0.15766560910638935,0.03846682265390505
AC007952.6,0.00014158218459060654,0.000364373920103149,-0.00022279173551254243
AC007966.1,0.00048509960428122604,0.00011031432969188661,0.0003747852745893394
AC008074.1,0.0007317908920034875,0.00020510599601542383,0.0005266848959880637
AC008074.3,0.002153585369684614,0.006550095011770802,-0.004396509642086188
AC008079.10,0.0003359841789778613,0.00025122790535589266,8.475627362196863e-05
AC008268.1,0.00029344372191681214,0.0,0.00029344372191681214
AC008277.1,0.00048225376111426713,0.00021573887674677258,0.0002665148843674945
AC008522.1,0.003947720550478967,0.00143690810255347,0.0025108124479254973
AC008592.4,0.0003307175164155443,0.0004731023621667808,-0.00014238484575123653
AC008686.1,0.0030724005255998244,0.001123095023307031,0.0019493055022927934
AC008691.1,0.0007012591649941718,0.00030976789447470743,0.0003914912705194644
AC008703.1,0.00027548600995268416,0.0,0.00027548600995268416
AC008914.1,0.0029286843256961454,0.0027038496588421734,0.00022483466685397193
AC008937.3,0.0006725716198447797,0.0013572689199586878,-0.0006846973001139081
AC009005.2,0.0,0.00022260737872657933,-0.00022260737872657933
AC009060.3,0.0,0.00019137111248523268,-0.00019137111248523268
AC009065.4,0.007326118651851594,0.0036478361594182774,0.0036782824924333165
AC009120.11,0.00015615474347642976,6.731392670880206e-05,8.88408167676277e-05
AC009120.4,0.0015560848602215705,0.0001271060403818803,0.0014289788198396903
AC009120.5,0.0025506286941862585,0.0005376301202570773,0.0020129985739291813
AC009121.2,0.0003764437216794878,0.0001376798484058692,0.00023876387327361858
AC009133.12,0.00041045859701755436,0.0016277751327618342,-0.0012173165357442799
AC009133.21,0.0,0.00016407439426376207,-0.00016407439426376207
AC009228.1,0.001783351348313578,0.0010317016289954537,0.0007516497193181242
AC009264.1,0.00013980610953950295,0.0,0.00013980610953950295
AC009299.3,0.00010232645882122293,0.0013383788845300355,-0.0012360524257088125
AC009403.2,0.0003213383832783785,0.002693996604868836,-0.0023726582215904575
AC009404.2,0.0006318603522973841,0.0038399439068074305,-0.0032080835545100464
AC009495.2,0.0003009806590023794,0.00022038830175452097,8.059235724785846e-05
AC009495.3,0.001028519124848031,0.0012313418131214813,-0.00020282268827345024
AC009498.1,0.00016615410061542884,0.0,0.00016615410061542884
AC009501.4,0.00025525573792825834,6.491542984924542e-05,0.00019034030807901293
AC009505.2,5.43931508727557e-05,0.0004269368607991192,-0.0003725437099263635
AC009506.1,0.017722768402685895,0.013515932676244981,0.004206835726440913
AC009948.5,0.0010425366722589795,0.002517808001295376,-0.0014752713290363964
AC009950.1,0.002668770452188469,0.004997237492380683,-0.002328467040192214
AC009950.2,2.9556011233669386e-05,0.00024509424726136867,-0.0002155382360276993
AC009961.3,0.00017014654292365404,0.0007937214187859858,-0.0006235748758623317
AC010096.1,0.00045389832045526855,1.4449412937049265e-05,0.00043944890751821926
AC010226.4,0.0025970623901028275,0.0019836948413827537,0.0006133675487200738
AC010287.1,0.0006382821186979308,0.0021565321416353307,-0.0015182500229373999
AC010524.4,0.00017114459397711898,0.0,0.00017114459397711898
AC010642.1,8.972388933830082e-05,0.0005598293505479914,-0.0004701054612096906
AC010649.1,0.0002401666569570636,0.0001043960818498436,0.00013577057510722
AC010883.5,8.241669558500716e-05,0.0010831455668912197,-0.0010007288713062125
AC010884.1,0.00023024877115068398,0.0,0.00023024877115068398
AC010890.1,4.212962438907696e-05,4.0125657837937674e-05,2.0039665511392837e-06
AC010894.3,0.0008737712902646948,0.0004323623833094507,0.00044140890695524416
AC010969.1,0.00015346856791072477,3.959197983211189e-05,0.00011387658807861288
AC010976.2,0.002678582613120586,0.005818756659125069,-0.003140174046004483
AC011043.1,0.014842789077483208,0.004010535045201197,0.01083225403228201
AC011306.1,0.0007306917394968435,0.0007799647095545596,-4.9272970057716065e-05
AC011747.4,3.824030564752501e-05,0.00048123264653704634,-0.0004429923408895213
AC011893.3,3.1343589957574046e-05,0.0,3.1343589957574046e-05
AC011899.9,8.276221610188207e-05,0.0010719424638909278,-0.0009891802477890457
AC011997.1,0.0011208844617835738,0.000669438510166109,0.0004514459516174648
AC012065.4,0.0016730148614354631,0.000987365226558728,0.0006856496348767351
AC012123.1,0.00010949744908855187,7.922872536984246e-05,3.0268723718709407e-05
AC012358.8,0.00022631242961625254,0.00012879303841379928,9.751939120245326e-05
AC012360.4,9.488612303646558e-05,0.0003124169981124044,-0.0002175308750759388
AC012363.2,0.00029979060426218475,4.866473855209944e-05,0.0002511258657100853
AC012368.1,0.013042143662189707,0.05082299647439643,-0.03778085281220672
AC012593.1,0.00017517126530545638,8.864745488349912e-05,8.652381042195726e-05
AC012594.1,0.00028808708501352494,9.132918076257396e-05,0.00019675790425095099
AC012613.2,0.00032232876296515935,0.0009252833020644483,-0.0006029545390992889
AC012668.3,0.00010460884322916943,9.030039916050616e-05,1.430844406866327e-05
AC013264.2,0.0,0.0032041261349763906,-0.0032041261349763906
AC013448.1,0.0005056255000111361,0.00046631158323827513,3.931391677286099e-05
AC013461.1,0.016997108716682117,0.007866761754757094,0.009130346961925023
AC015849.19,8.183908540876035e-05,0.0003935465278208007,-0.0003117074424120403
AC015987.1,0.0018251148730649834,0.0012111558683450617,0.0006139590047199218
AC016549.1,0.0016230720927664104,0.0008167405468268262,0.0008063315459395842
AC016700.5,0.0003234868927970271,0.00029675637344056766,2.673051935645946e-05
AC016722.3,0.0016905948113595415,0.0009911268618471162,0.0006994679495124253
AC016831.7,0.061362315956084164,0.1495410725232383,-0.08817875656715415
AC016910.1,0.0007109885872899726,8.305525295612272e-05,0.0006279333343338499
AC017002.1,0.0008477896690044439,0.004759061614198425,-0.003911271945193981
AC017002.2,6.803731566022845e-05,0.0002695066804386917,-0.00020146936477846326
AC017074.1,0.0005964861244606603,0.00023881141894971345,0.00035767470551094686
AC018647.3,0.0002579261823797153,0.00018565171326011333,7.227446911960196e-05
AC018742.1,0.0007357559610584369,0.0009622051382633521,-0.00022644917720491522
AC018816.3,9.920007548012593e-05,0.00042370864161464874,-0.0003245085661345228
AC018866.1,0.00013244497981366776,2.536554627535512e-05,0.00010707943353831264
AC018890.6,0.00020994388102755628,0.0,0.00020994388102755628
AC019117.1,0.0002812516068566574,2.2328816426867125e-05,0.0002589227904297903
AC019117.2,0.00041948105804075485,0.0002836389846603428,0.00013584207338041205
AC019186.1,0.0006771349372982108,0.00017779504480796858,0.0004993398924902422
AC020571.3,0.0,0.0002544378369549653,-0.0002544378369549653
AC021188.4,1.95033935671373e-05,0.0007639871518530767,-0.0007444837582859395
AC021224.1,0.0008338180223033545,0.0006199017716516024,0.00021391625065175215
AC022007.5,0.0001013362952768448,0.0,0.0001013362952768448
AC022182.1,0.0003410945199246352,0.0006062471325885963,-0.0002651526126639611
AC022182.3,8.639658981358689e-05,0.0008235373080178564,-0.0007371407182042696
AC023347.1,0.0003156059844965732,0.00011550272686545699,0.00020010325763111618
AC023481.1,0.005292692046454827,0.00036668241298933003,0.0049260096334654965
AC023590.1,0.009450983962997025,0.008862060199954202,0.0005889237630428232
