,malignant_class1,malignant_class2,Tcell,Myeloid,Bcell,Endo,Fibroblast
ANKRD55,0.4529907118313337,0.09657288250233263,7.759014209392079,0.12539731131150636,0.32662391341007313,0.17124604976663377,0.08395437697317679
ANO4,0.8420092717492756,7.289194909588476,0.1564231128796266,1.1343073774894028,0.26124342163033804,1.0235399425282763,24.261167630193306
ANXA8,5.581412717901004,0.062378821120966106,0.0,0.0,1.7729900464018238,0.2090490777234773,0.41802158858796107
AP3M2,13.663461884324626,12.530044308134803,86.9142372933027,3.859626105555842,12.901359518565013,12.54994348823805,10.277418967000362
APOD,544.0354915111511,641.4197734485053,19.965086638736807,57.21217064937877,22.599122607957547,394.5801913480415,1971.726068300919
APOLD1,98.60647148192193,65.23884354327016,33.93074280995706,15.845959359842189,71.18291283232823,1302.1502992740348,95.37497437144326
ARHGEF15,5.962154340178589,1.6841120591185337,0.25324387111878394,0.4099782593601404,1.1143639658286237,60.56766412296852,2.183932831309478
ASPHD1,10.658703206088342,1.0298693299692132,0.09779295519073176,1.9902146840199806,2.2657957096734327,0.6971482433015052,1.0760288569315735
ATP23,19.24396056108972,122.08437571741368,4.559116033558649,5.881591177559064,5.209403686097508,7.499794436768341,16.11769217381116
AVIL,38.32937457311184,185.76269987130507,1.875097967322525,6.097292449713295,1.837879700717899,6.2250834463527465,30.770103601914002
AVPR2,2.254185777617032,1.0461114072327102,0.0539997256888782,0.3036766807557359,0.24554724623674293,26.463854796747587,1.366288518498854
AZGP1,0.9622572236917109,3.910606807269022,0.19259916110616287,0.9555580581385528,2.927790625828006,1.6319095977365696,14.139101197518695
B3GNT4,0.09274100349317575,18.445942390527943,0.3136626715480521,0.15826891164821,0.14609556903486634,0.06261209024619689,0.06286546257073486
BANK1,4.092936224903203,2.9092761264608744,0.6315332250498242,2.2628426009987725,169.72798196411003,8.9091546305681,3.9282690749363187
BATF,40.6008999065886,1.5286459050622285,192.65990026920085,19.33564928599394,46.88780149409039,18.398269009504904,11.684345281620056
BCL11A,2.9649493599383274,1.3429281462619336,0.625066590197704,7.912151286592823,123.83525942878146,10.252015358570974,2.4818590318619647
BCL11B,9.946448859657457,4.095557089236887,124.00373787383353,0.6367475234811145,12.262442047864893,5.619783517975703,3.909198834665959
BDKRB1,11.060551401663844,6.642256524286093,0.08580358217839179,0.10925193653008937,4.709067987532828,1.5752945466845736,2.3906409166635396
BET1L,20.75514751321112,19.641436555440233,24.363434141617052,19.536863331643033,16.28085818541544,13.880097578677754,49.420294735695414
BLK,0.9483882630255142,0.10443922381752234,1.6292116859247405,0.08621803934307251,79.71086702369071,2.5038574472542905,0.3921849911094643
BMP6,3.0290227292560847,1.5908948067803501,0.16290735645811338,0.5361001014319144,0.8586706327450859,35.50056824097575,1.6320450042419963
BNC1,5.527887782987799,0.3054664628797176,0.11568963109700262,0.013661183085115883,1.5626032174214723,0.5128308944711942,0.5411123418691799
BOLA1,11.481142229008144,64.7438796761064,5.574845665344283,4.971085009010418,4.716367417748552,10.168130053210586,11.537103800589115
BRINP3,0.32211283073912517,7.891256927916156,0.06947397627692022,0.11285272659890894,0.0,0.03446705234149335,0.7631927934826531
BTNL9,53.512391453502545,14.684936860292376,1.820597509968058,7.456477246993602,20.883059272557777,1008.043953635535,34.07647220112384
C12orf76,20.11195476134159,22.58483125420839,20.592909106154153,14.354742646359181,14.762070041006693,17.207930447768437,52.658773089032096
C1QTNF7,2.905996570237119,2.7492017027546782,0.28978033497423517,0.4395889555114006,1.2028330548037058,0.160279842013148,5.968405707401301
C1QTNF9,2.75242430281741,1.58375960605952,0.17888826633682575,0.2931844039478403,0.06307088614371055,38.59995234298398,2.2972564407664886
C2CD4C,0.712082979628874,0.29853369607584856,0.1329736158702894,0.28498734730974856,0.13987403292783204,12.683567971874313,0.13957294387418961
C3AR1,52.125916050387524,2.9774021034733003,11.841876649638316,311.9877725385996,15.611633438164478,21.093135397605025,47.04914609500054
C5AR1,75.18019563570448,5.297982714275501,5.671664941906085,822.1160207767482,50.619735532889074,82.17818842483523,51.51200186263763
C5AR2,6.759960012926954,1.8903102722429466,0.672143607570095,90.36952641975587,6.0635781052011515,10.244460745778486,4.983092856718025
CA4,20.89654911068456,4.444787158700202,1.4737653534830197,3.071124676267734,6.343460723533455,778.096638208073,21.758810263563724
CACNA1D,1.6343920020796106,13.179085237326582,0.5502851837648589,0.6583189460691876,0.6685833794455203,0.8288496363227192,0.808243955457702
CADM3,5.753093069590667,105.00552948565067,1.0236751780849966,1.0606163034014044,1.1717391323454096,2.029006612578401,16.923276884939863
CALB2,42.17920477106686,0.6108774623491866,0.3202447993518937,1.559041879817246,18.5934819389419,2.778199657404356,8.723088243339074
CAMK4,5.19291120013106,6.680566160727309,54.4445614463453,0.15219362718667223,4.269463069049028,2.3795399559652104,2.173538235816845
CAMP,10.380274208858394,1.3675576442482311,0.17441353086919567,5.702578776154557,2.5973735555919877,1.2939802726561305,0.5165720509201588
CASKIN2,6.985844641663388,5.715912008010743,0.48893158059400466,3.2571938315935993,1.8798904362110322,77.88144058155099,5.6260429637514795
CAVIN2,151.17455563118693,58.73241933807023,5.960906448129418,51.17687129241198,43.43071798352118,1569.1521378199259,82.59525617939666
CCBE1,7.6484069269029575,3.348550455541127,0.3470532898750699,0.469791068001715,1.0401932257018567,0.45856681051565296,1.918314958078353
CCDC141,8.91983955306965,1.4795926001203725,13.606288911876394,64.62608138583688,10.64931127401935,8.748900252995016,9.428782639373514
CCDC152,6.909610402942115,13.262437694481488,7.673235274973269,14.800286836010711,6.753301030593562,5.629916008310671,34.2064576447779
CCDC3,41.72303057760961,4.141845232229903,0.6994992048930498,1.4517073259575353,7.378371369343337,12.970042145238398,7.225308540909607
CCDC68,1.8302943028539542,0.4877100234979026,0.15532478882224962,0.2897924714372293,1.022788625634556,22.980464344049857,1.5443407739023496
CCL18,41.334971481902784,7.8653663427254,4.141429008623992,254.1725178282202,2.9167035879122434,11.29433148272701,20.713089639283925
CCL20,8.500901510802512,2.027288524336996,8.333507784331319,51.46558578076351,5.9675275450525,6.2164237985288535,4.680663052796902
CCL3L3,0.0,0.0,5.227929157248135,72.06057185465785,3.863356408233253,2.618557174089232,0.0
CCL8,20.104907017974803,8.707653470975432,1.896075612206854,170.01929957110937,6.725200596088322,12.157929717572461,35.634854914213555
CCN1,14.118472612814603,32.61486227889256,1.0434503863042637,1.6502180343730664,9.514636977420002,50.981925231120336,112.95355584420992
CCN5,0.4149119986651927,0.09880481644465348,0.19387115821210488,0.24313383498166583,0.4760112796619677,0.08148531430922862,23.216583082132022
CCR1,27.85834804662001,1.5795222049119904,2.8334782795251217,141.97607271955283,5.432866648690478,8.03903299411078,29.590463907012435
CCR4,2.7299744077811585,0.21454303717599324,26.04162471367226,0.11461020603873293,1.186194634928824,0.3482377166115955,0.7655263770109411
