symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
BHMT,92.58664322,-2.394153754,0.605056198,7.59e-05,0.012320219
SMAP2,3291.454098,-1.089286864,0.276510844,8.17e-05,0.012320219
TMEM156,162.405102,-2.028084021,0.515632938,8.38e-05,0.012320219
CD3D,645.0152061,-1.951177103,0.495060116,8.1e-05,0.012320219
ZNF101,436.1278983,-1.073914784,0.273189823,8.46e-05,0.012320219
CARD11,511.4548407,-1.785612951,0.454914187,8.67e-05,0.012487341
2017-09-01 00:00:00,548.0479145,-1.821044879,0.465821956,9.26e-05,0.012925889
ASAH2,85.96392355,-1.639511395,0.418955909,9.1e-05,0.012925889
CD83,1799.677848,-1.343217667,0.343561679,9.24e-05,0.012925889
SYTL3,282.6214433,-1.424500564,0.364453456,9.28e-05,0.012925889
POC1B,1506.782937,-1.268963699,0.325169452,9.52e-05,0.013147011
HLA-DPB1,16334.11783,-1.692830355,0.435611339,0.000101866,0.013839375
LOC93429,39.69680085,2.331792305,0.600046492,0.000101901,0.013839375
LIPA,15961.50846,-1.436584248,0.371088725,0.00010827,0.014584797
MIR211,20.76076482,2.261111495,0.584824483,0.000110495,0.014764508
ADGRB1,252.5286671,2.003039392,0.518446074,0.000111754,0.014813163
NCF1C,994.5136754,-1.830578815,0.474225319,0.000113319,0.014901507
POU2AF1,862.5621593,-2.153064982,0.55896585,0.000117218,0.015137788
RFC2,1598.578614,-0.653661727,0.169758405,0.000117857,0.015137788
TNFSF8,468.2555102,-1.538505963,0.399313312,0.000116737,0.015137788
TBC1D30,179.9930144,-1.656066834,0.43104099,0.000122027,0.015345134
TTLL3,643.143876,1.336033939,0.347717037,0.000121886,0.015345134
HLA-DQA1,15228.1319,-1.793426592,0.466847299,0.00012225,0.015345134
GPR88,28.4232737,-2.145374074,0.559278452,0.000125071,0.015581195
CHRNA1,404.4255584,-2.232577144,0.582326438,0.000126131,0.015596019
CYB5R4,1108.904984,-0.870708147,0.227481249,0.000129397,0.015881288
PLAT,7757.753191,1.763002842,0.461143822,0.00013178,0.015916932
NCF1B,1039.005559,-1.839089027,0.480780983,0.00013066,0.015916932
RBP5,201.7783781,-1.801385429,0.471364943,0.000132569,0.015916932
CD53,4427.919568,-1.566233667,0.410860836,0.000137803,0.016426342
P2RY10,245.6405051,-1.980445857,0.520300915,0.000141034,0.016691426
NR2F1,320.6947691,-1.660581242,0.437083001,0.000145143,0.017055863
ORM2,116.6255751,-2.286239347,0.602182387,0.0001467,0.017117456
LTA,76.34703881,-1.980175433,0.521870429,0.000148012,0.017149729
HLA-DQA2,3545.809998,-1.888974274,0.499004616,0.000153409,0.017202858
TRAT1,159.1382723,-1.851939911,0.488867675,0.000151728,0.017202858
SASH3,1634.143898,-1.717864662,0.45316645,0.000150161,0.017202858
SLC47A1,538.4851198,-1.721143306,0.454718338,0.000153662,0.017202858
VOPP1,3692.349851,-1.185746214,0.312920667,0.00015108,0.017202858
CD5,419.8956818,-1.873959,0.495632231,0.000156233,0.01737334
EVC,1950.968852,1.038906499,0.275058285,0.000158702,0.017414176
DIP2C,3413.407676,1.168894512,0.309405536,0.000158174,0.017414176
SYK,2650.499924,-1.325346675,0.351141984,0.0001604,0.017484642
CD27,249.7137919,-1.761322772,0.466903305,0.000161717,0.017513007
CD180,751.7797617,-1.606391053,0.426302355,0.000164431,0.017691305
NUGGC,108.5263192,-2.131156993,0.56594779,0.000166121,0.017757843
TMED10,23671.33158,0.659707375,0.175431238,0.000169581,0.01801146
PTGER4,786.1181504,-1.385716212,0.368862421,0.000172149,0.018167712
TPT1-AS1,2580.835828,0.943409989,0.251430673,0.000175312,0.01838449
KLHL6,1263.936228,-1.6431076,0.438271244,0.000177495,0.01849629
IKZF3,1573.945913,-1.833929252,0.490036271,0.000182245,0.018755403
NCF1,1133.389037,-1.804630576,0.482180491,0.000182093,0.018755403
AHNAK2,3913.628453,1.834370013,0.490494322,0.000184138,0.018787436
LAMA4,8256.024353,1.421380309,0.380219932,0.000185261,0.018787436
LPAR5,291.3719859,-1.392343547,0.37254674,0.000185958,0.018787436
SLC26A8,17.24730117,1.97531677,0.529155001,0.000189239,0.018888597
REV3L,4532.218827,1.283044754,0.343608351,0.000188438,0.018888597
CTSS,15229.53019,-1.512722992,0.406805879,0.000200379,0.019534078
ATP2A3,1674.246383,-1.769895518,0.47589093,0.000199918,0.019534078
FHDC1,1152.179893,1.61471562,0.434215536,0.000200254,0.019534078
TESPA1,273.1747104,-1.834476909,0.493340017,0.000200422,0.019534078
GPR183,706.0278465,-1.568354739,0.42361299,0.000213629,0.020460242
GALNT14,313.2988842,2.030433632,0.54837585,0.000213375,0.020460242
KBTBD8,349.9347674,-1.559843688,0.421314107,0.000213629,0.020460242
ARID3A,218.5888577,-0.81381543,0.220385352,0.000221892,0.020953421
PHLDB1,4085.700174,1.217999343,0.330204569,0.000225473,0.020953421
LOC285593,14.84012857,1.392825095,0.377846633,0.000227611,0.020953421
HCN1,170.1446036,-2.185982537,0.592165731,0.000222931,0.020953421
PNOC,82.01367675,-2.081076643,0.564376029,0.000226563,0.020953421
STK17B,2788.996949,-1.530529513,0.415205654,0.000227631,0.020953421
CD74,94360.37454,-1.571971701,0.42546975,0.00022017,0.020953421
SLAMF6,588.5173082,-1.755539593,0.477499655,0.000236432,0.021524438
CSGALNACT1,3205.806403,1.577068527,0.428851707,0.000235603,0.021524438
GPC3,855.653961,-1.760389195,0.479237765,0.000239428,0.02156024
CCRL2,277.8007715,-1.481995518,0.403372512,0.000238771,0.02156024
SCN3A,65.56249749,-1.900268696,0.517843629,0.000242949,0.021759053
CD3G,241.8015499,-1.80631096,0.492680878,0.000246095,0.02192229
GPR180,2481.536344,0.922518754,0.251881185,0.000249751,0.022128972
HLA-DPB2,215.781874,-1.991614638,0.544258382,0.000252887,0.022287694
SLC10A6,36.86457849,2.052170034,0.561203898,0.000255455,0.02232418
C4BPB,38.47596484,-2.120859991,0.580074449,0.000255996,0.02232418
GPM6B,13003.92205,1.625153237,0.444888318,0.000259248,0.022387101
BCL2L14,80.70618488,-1.997127638,0.546742297,0.00025942,0.022387101
PIK3AP1,2964.24428,-1.431424424,0.39238184,0.000264249,0.022685716
TSPAN33,967.1960417,-1.391141572,0.381882096,0.000269629,0.023028301
FBXL2,544.38167,1.450525603,0.398459632,0.000272286,0.023135936
KLHL41,257.1312686,1.753965974,0.482666774,0.000279162,0.023243389
AKR1B1,4293.340431,-1.227398656,0.337631988,0.000277641,0.023243389
EFCAB1,65.15430559,-2.183003707,0.600266026,0.000276124,0.023243389
DENND1C,541.0936984,-1.386190033,0.381450168,0.000279061,0.023243389
KCNQ1,451.4929953,-1.642938295,0.453974586,0.000295733,0.024499992
NINJ2,277.5962517,-1.392148929,0.385192104,0.000301314,0.024741607
PRLR,311.5612043,-1.877700791,0.519761459,0.000303118,0.024741607
TEAD1,7000.455665,1.096191218,0.3034346,0.000303129,0.024741607
NPHP3,1244.89532,1.099336617,0.304608928,0.000307368,0.024964606
POU2F2,634.0168236,-1.673265518,0.464086227,0.000311546,0.025180491
PKD2L1,97.13941665,-1.894777245,0.526394235,0.00031878,0.025640147
KLRB1,279.1070023,-1.765366905,0.49069916,0.000321098,0.025701768
CSF2RB,1613.284849,-1.568638402,0.436185177,0.000322816,0.025715115
APEX2,1044.139982,-0.387686568,0.107880191,0.000326044,0.02575526
PTPRZ1,4703.763057,1.973031428,0.549075573,0.000326429,0.02575526
RAB6B,1957.333755,1.597890666,0.444901765,0.000328707,0.025812029
LAMA1,962.673599,1.823071886,0.508072557,0.000332954,0.025967796
C3orf70,683.2291416,1.393712666,0.388620385,0.000335392,0.025967796
TFEB,593.0580479,-1.309279706,0.365036497,0.000334878,0.025967796
TREM2,1145.920681,-1.754044537,0.489502568,0.000339254,0.026128725
FAM107B,3290.139137,-1.356854677,0.378897358,0.000342201,0.026128725
DNAJC5B,179.4029121,-1.881445824,0.52536229,0.000341974,0.026128725
SERPINE2,71494.24853,1.630486856,0.45595027,0.000348866,0.026515433
FCRL3,300.8539647,-2.003720632,0.561477804,0.000358818,0.026709522
GPR160,692.7143012,-1.507132415,0.421862712,0.0003535,0.026709522
RNLS,456.2384882,-1.561278416,0.43713347,0.000354768,0.026709522
PTPN6,2033.091989,-1.575975333,0.441645387,0.000359143,0.026709522
ZNF514,734.7242395,0.915161148,0.256478961,0.00035948,0.026709522
VAV3,1511.57526,-1.449380601,0.406782643,0.000366592,0.027039533
ZBTB18,1053.663927,-1.129346005,0.317333324,0.000372463,0.027039533
